id,code,description,city,city_eng,street,area,zip,building,latitude,longitude
21911,WRO140M,Przy siedzibie TBS,Wrocław,wroclaw,Tylna,dolnośląskie,51-313,14,51.14582,17.11311
21912,WRO141M,Przy placu zabaw,Wrocław,wroclaw,Kamieńskiego,dolnośląskie,51-126,200,51.15497,17.04254
21913,WRO142M,Przy budynku 10A,Wrocław,wroclaw,Da Vinci,dolnośląskie,52-112,10A,51.06583,17.07733
21914,WRO143M,Przy parkingu,Wrocław,wroclaw,Rodzynkowa,dolnośląskie,54-054,2,51.15474,16.89407
21915,WRO144M,Przy warsztacie samochodowym,Wrocław,wroclaw,Żmigrodzka,dolnośląskie,51-130,75,51.14062,17.03265
21916,WRO145M,"Po lewej stronie budynku, przy przystanku.",Wrocław,wroclaw,Jeleniogórska,dolnośląskie,54-056,14,51.1463,16.8764
21917,WRO147M,Przed sklepem od ul. Fromborskiej.,Wrocław,wroclaw,Mrągowska,dolnośląskie,54-107,4,51.1511,16.9408
21918,WRO148M,Po lewej stronie od wjazdu na parking.,Wrocław,wroclaw,Sołtysowicka,dolnośląskie,51-168,62a,51.1507,17.0766
21919,WRO149M,Przy drodze.,Wrocław,wroclaw,Dożynkowa,dolnośląskie,52-311,9,51.0669,16.9825
21920,WRO14L,Stacja paliw BP,Wrocław,wroclaw,Kromera,dolnośląskie,51-163,16,51.13195,17.06256
21921,WRO14M,Po lewej od strony wejścia.,Wrocław,wroclaw,Na ostatnim groszu,dolnośląskie,54-207,98A,51.12138,16.97541
21922,WRO14N,Przy markecie Bricomarche,Wrocław,wroclaw,Królewiecka,dolnośląskie,54-117,68,51.15725,16.92255
21923,WRO151M,Przy klatce nr 63.,Wrocław,wroclaw,Pałucka,dolnośląskie,54-153,65,51.13762,16.97737
21924,WRO152M,Przy komisie samochodowym,Wrocław,wroclaw,Miłoszycka,dolnośląskie,51-502,11a,51.11586,17.12887
21925,WRO153M,Przy wejściu do budynku od Komandorskiej,Wrocław,wroclaw,Piłsudskiego,dolnośląskie,50-019,69/73,51.1007,17.03124
21926,WRO154M,Na rogu sienkiewicza/reja,Wrocław,wroclaw,Sienkiewicza,dolnośląskie,50-337,75,51.1159,17.05777
21927,WRO155M,Przy ulicy Reja,Wrocław,wroclaw,Reja,dolnośląskie,50-338,36,51.11689,17.05806
21928,WRO156M,Wjazd na myjnię,Wrocław,wroclaw,Pełczyńska,dolnośląskie,51-180,40,51.16603,16.9983
21929,WRO157M,Przy warsztacie samochodowym,Wrocław,wroclaw,Swojczycka,dolnośląskie,51-502,76,51.11353,17.1204
21930,WRO158M,Przy Szklarni,Wrocław,wroclaw,Nefrytowa,dolnośląskie,52-215,44,51.04877,17.02364
21931,WRO159M,Po lewej stronie od głównego wejścia do biurowca Cu Office,Wrocław,wroclaw,Jaworska,dolnośląskie,53-612,11-13,51.11581,16.99424
21932,WRO15A,Przy wejściu nr 1 do Pasażu Zielińskiego od strony ul.Zielińskiego,Wrocław,wroclaw,Swobodna,dolnośląskie,50-088,37,51.10064,17.02416
21933,WRO15L,Stacja paliw Shell,Wrocław,wroclaw,Małopanewska,dolnośląskie,54-212,2,51.1228,16.98793
21934,WRO15M,Przy Pepco,Wrocław,wroclaw,Popowicka,dolnośląskie,54-238,134A,51.12848,16.98934
21935,WRO15N,Przy sklepie Grosik,Wrocław,wroclaw,Białowieska,dolnośląskie,54-234,13A,51.12379,16.99299
21936,WRO160M,Na parkingu przed sklepem,Wrocław,wroclaw,Zielińskiego,dolnośląskie,53-533,61,51.09801,17.01929
21937,WRO161M,Przy wjeździe do parkingu podziemnego,Wrocław,wroclaw,Na Ostatnim Groszu,dolnośląskie,54-207,3,51.1254,16.976
21938,WRO162M,Przy budynku Margaret Catering,Wrocław,wroclaw,Zemska,dolnośląskie,54-438,44A,51.11581,16.94904
21939,WRO163M,Przy pawilonie Pierogarni,Wrocław,wroclaw,Rogowska,dolnośląskie,54-440,62A,51.11903,16.95074
21940,WRO165M,Przed sklepem Ponik,Wrocław,wroclaw,Bałtycka,dolnośląskie,51-120,1,51.13831,17.03256
21941,WRO166M,Przy Myjni,Wrocław,wroclaw,Międzyleska,dolnośląskie,50-514,6b,51.08038,17.06862
21942,WRO167M,Przy sklepie Aldi na parkingu,Wrocław,wroclaw,Grabiszyńska,dolnośląskie,53-439,167,51.09887,16.99491
21943,WRO168M,Przy skrzyżowaniu ulic Kurpiów/Grota-Roweckiego,Wrocław,wroclaw,Kurpiów,dolnośląskie,52-214,4,51.05033,17.03043
21944,WRO169M,"Parking przy kamienicy Biurowej , wejście od Podwale lub od Dworcowej",Wrocław,wroclaw,Podwale,dolnośląskie,50-010,62,51.10263,17.03828
21945,WRO16A,Przy markecie POLOmarket,Wrocław,wroclaw,Budziszyńska,dolnośląskie,54-438,107,51.113053,16.95422
21946,WRO16L,Przy markecie Stokrotka,Wrocław,wroclaw,Krzemieniecka,dolnośląskie,54-613,125,51.09737,16.95049
21947,WRO16N,Przy parkingu Spółdzielni Mieszkaniowej Rolbud (zwrócony w stronę parkingu),Wrocław,wroclaw,Wiejska,dolnośląskie,52-437,,51.07829,16.95871
21948,WRO170M,Za centrum handlowym,Wrocław,wroclaw,Swojczycka,dolnośląskie,51-501,69,51.11293,17.1212
21949,WRO171M,Park Handlowy od ulicy Buforowej,Wrocław,wroclaw,Buforowa,dolnośląskie,52-131,100,51.05105,17.05899
21950,WRO173M,Przy aptece,Wrocław,wroclaw,Jarnołtowska,dolnośląskie,54-530,3,51.12056,16.86266
21951,WRO174M,Prywatna posesja,Wrocław,wroclaw,Kamiennogórska,dolnośląskie,54-033,66,51.13561,16.89843
21952,WRO175M,Parking przy budynku biurowym West Link,Wrocław,wroclaw,Szybowcowa,dolnośląskie,54-130,2,51.12535,16.97694
21953,WRO176M,Przy budynku usługowym,Wrocław,wroclaw,Koreańska,dolnośląskie,52-121,2,51.05804,17.08674
21954,WRO178M,Przy sklepie Netto,Wrocław,wroclaw,Stryjska,dolnośląskie,54-614,2,51.09754,16.9521
21955,WRO179M,Przy parkingu,Wrocław,wroclaw,Popowicka,dolnośląskie,54-238,28,51.12586,16.99598
21956,WRO17L,Przy markecie Stokrotka,Wrocław,wroclaw,Wapienna,dolnośląskie,50-518,35,51.08759,17.0418
21957,WRO17N,Przy sklepie Żabka,Wrocław,wroclaw,Krępicka,dolnośląskie,54-018,44,51.15008,16.86212
21958,WRO181M,Przy wjeździe na parking obok myjni,Wrocław,wroclaw,Rogowska,dolnośląskie,54-440,1,51.11837,16.95789
21959,WRO182M,"parking przy hostelu, dziedziniec wewnętrzny",Wrocław,wroclaw,Sienkiewicza,dolnośląskie,50-348,106a,51.11638,17.05987
21960,WRO183M,Na Prywatnej Posesji,Wrocław,wroclaw,Torfowa,dolnośląskie,51-170,22,51.15403,17.07243
21961,WRO184M,Przy klatce mieszkaniowej nr 5,Wrocław,wroclaw,Topolowa,dolnośląskie,52-110,5,51.06939,17.07814
21962,WRO185M,Przy siedzibie Spółdzielni,Wrocław,wroclaw,Kamieńskiego,dolnośląskie,51-124,64a,51.14525,17.0404
21963,WRO186M,Przy wjeździe,Wrocław,wroclaw,Metalowców,dolnośląskie,54-156,25,51.12791,16.95372
21964,WRO187M,Przy lokalu usługowym,Wrocław,wroclaw,Kutrzeby,dolnośląskie,52-213,53,51.0525,17.01925
21965,WRO188M,Wzdłuż płotu na prywatnej posesji,Wrocław,wroclaw,Graniczna,dolnośląskie,54-530,133,51.10957,16.90449
21966,WRO189M,przejście do klatek budynku,Wrocław,wroclaw,Mieszczańska,dolnośląskie,50-201,34,51.11969,17.02392
21967,WRO18L,"Przy Centrum Handlowym TGG, obok stacji paliw",Wrocław,wroclaw,Słubicka,dolnośląskie,53-615,18,51.11809,17.00017
21968,WRO18M,Przy biurowcu,Wrocław,wroclaw,Wałbrzyska,dolnośląskie,52-314,24,51.06423,16.97894
21969,WRO18N,Przy pętli tramwajowej na ternie domu akademickiego AWF,Wrocław,wroclaw,Adama Mickiewicza,dolnośląskie,51-684,98,51.11428,17.10428
21970,WRO190M,Od ulicy Jeżowskiej,Wrocław,wroclaw,Porębska,dolnośląskie,54-048,8,51.14254,16.90422
21971,WRO191M,Przy parkingu,Wrocław,wroclaw,Rychtalska,dolnośląskie,50-304,8,51.12853,17.04662
21972,WRO192M,Na terenie prywatnym,Wrocław,wroclaw,Pawia,dolnośląskie,52-235,25,51.06601,17.03836
21973,WRO194M,Przy sklepie Hermes,Wrocław,wroclaw,Wałbrzyska,dolnośląskie,52-314,41,51.06388,16.97642
21974,WRO195M,Przy Prywatnej Posesji.,Wrocław,wroclaw,Sosnowiecka,dolnośląskie,52-008,1A,51.06976,17.09096
21975,WRO196M,Przy parkingu,Wrocław,wroclaw,Robotnicza,dolnośląskie,53-608,72E,51.111,17.00136
21976,WRO197M,Przy Stacji MOYA express.,Wrocław,wroclaw,Krakowska,dolnośląskie,50-429,150,51.08373,17.07486
21977,WRO198M,Przy firmie Whirlpool,Wrocław,wroclaw,Komorowskiego,dolnośląskie,51-210,6,51.15557,17.11847
21978,WRO199M,Wzdłuż płotu na prywatnej posesji,Wrocław,wroclaw,Uciechowska,dolnośląskie,54-061,dz. 34/2,51.15768,16.91601
21979,WRO19A,Stacja paliw BP,Wrocław,wroclaw,Legnicka,dolnośląskie,54-205,67,51.1271,16.98111
21980,WRO19L,przy warsztacie,Wrocław,wroclaw,Kłokoczycka,dolnośląskie,51-378,177,51.15775,17.09383
21981,WRO19M,Market Dino,Wrocław,wroclaw,Strachocińska,dolnośląskie,51-518,193,51.10009,17.15892
21982,WRO19ML,"Przy Anteny TV SAT, POK Inpost",Wrocław,wroclaw,Boguszowska,dolnośląskie,54-046,82,51.15049,16.89198
21983,WRO200M,Przy wjeździe na posesję,Wrocław,wroclaw,Krzycka,dolnośląskie,53-020,4,51.07461,17.00387
21984,WRO201M,Przy Gabinecie Dentystycznym,Wrocław,wroclaw,Orzechowa,dolnośląskie,50-567,18,51.08141,17.04223
21985,WRO202M,Na prywatnej posesji,Wrocław,wroclaw,Chorwacka,dolnośląskie,51-112,31,51.13669,17.02579
21986,WRO203M,Przy Osiedlu.,Wrocław,wroclaw,Wietnamska,dolnośląskie,52-110,3,51.06215,17.08412
21987,WRO204M,Parking obok bloku,Wrocław,wroclaw,Wojanowska,dolnośląskie,54-063,36,51.15416,16.89691
21988,WRO205M,Parking przed blokiem,Wrocław,wroclaw,Dolnobrzeska,dolnośląskie,54-072,44,51.15206,16.86378
21989,WRO206M,Po prawej stronie od wejścia do Żabki.,Wrocław,wroclaw,Maślicka,dolnośląskie,54-107,104,51.1533,16.939
21990,WRO207M,Na skrzyżowaniu Rapackiego i Wawrzyniaka,Wrocław,wroclaw,Wawrzyniaka,dolnośląskie,53-021,23,51.07558,17.00067
21991,WRO208M,Przy Osiedlu.,Wrocław,wroclaw,Syjamska,dolnośląskie,52-113,4,51.06565,17.08137
21992,WRO209M,Przy Hurtowni Ewax.,Wrocław,wroclaw,Grota-Roweckiego,dolnośląskie,52-232,116,51.0559,17.03328
21993,WRO20M,Przy sklepie Kiosk,Wrocław,wroclaw,Jastrzębia,dolnośląskie,53-148,6,51.08416,17.00939
21994,WRO20N,Przy Hali Targowej Blaszak od strony pętli autobusowej,Wrocław,wroclaw,Poleska,dolnośląskie,51-354,50,51.14241,17.12779
21995,WRO210M,Obok sklepu Delikatesy Centrum,Wrocław,wroclaw,Tęczowa,dolnośląskie,53-603,30,51.10632,17.01791
21996,WRO211M,Przy wjeździe na targ od ul. Żubrzej,Wrocław,wroclaw,Niedźwiedzia,dolnośląskie,54-232,1,51.12145,16.99566
21997,WRO212M,W linii ogrodzenia,Wrocław,wroclaw,Petrażyckiego,dolnośląskie,52-437,66,51.07357,16.9659
21998,WRO213M,Wzdłuż płotu,Wrocław,wroclaw,Koszalińska,dolnośląskie,54-316,9,51.12527,16.95188
21999,WRO215M,trawnik przed budynkiem,Wrocław,wroclaw,Na Szańcach,dolnośląskie,50-327,15,51.1189,17.04517
22000,WRO216M,Przy sklepie spożywczym,Wrocław,wroclaw,Kukułcza,dolnośląskie,51-419,8,51.13339,17.08176
22001,WRO218M,Obok sklepu z warzywami,Wrocław,wroclaw,Kwiska,dolnośląskie,54-210,16,51.12325,16.98248
22002,WRO219M,Stacja Paliw Omega,Wrocław,wroclaw,Bardzka,dolnośląskie,50-517,6,51.08353,17.04988
22003,WRO21A,Przy centrum handlowym,Wrocław,wroclaw,Długa,dolnośląskie,53-633,37,51.12138,17.01477
22004,WRO21M,Przy szkole Tenisa,Wrocław,wroclaw,Kozanowska,dolnośląskie,54-152,69,51.13939,16.97353
22005,WRO21N,Przy sklepie spożywczym,Wrocław,wroclaw,Racławicka,dolnośląskie,53-149,37,51.08331,17.00491
22006,WRO220M,Przy placu zabaw,Wrocław,wroclaw,Kasztelańska,dolnośląskie,51-200,21,51.15651,17.13465
22007,WRO222M,Przy myjni ręcznej,Wrocław,wroclaw,Plac Hirszfelda,dolnośląskie,53-413,14M,51.09511,17.01566
22008,WRO223M,Przy markecie Aldi,Wrocław,wroclaw,Obornicka,dolnośląskie,51-114,72,51.13953,17.02674
22009,WRO224M,Przy budynku nr 52,Wrocław,wroclaw,Szkocka,dolnośląskie,54-402,52,51.10852,16.95919
22010,WRO225M,Przy Foodtruckach,Wrocław,wroclaw,Pawia,dolnośląskie,52-235,44,51.06362,17.0375
22011,WRO226M,Obok sklepu Delikatesy Centrum,Wrocław,wroclaw,Legnicka,dolnośląskie,53-673,23/25,51.113337,17.014496
22012,WRO227M,Parking obok bloku,Wrocław,wroclaw,Prężycka,dolnośląskie,54-072,66,51.15291,16.86441
22013,WRO228M,Boczna ściana sklepu Jomo,Wrocław,wroclaw,Wojrowicka,dolnośląskie,52-434,2,51.11476,16.96124
22014,WRO229M,Przy Starterze I,Wrocław,wroclaw,Wybrzeże L. Pasteura,dolnośląskie,50-378,18,51.11387,17.07086
22015,WRO22A,Przy markecie Kaufland,Wrocław,wroclaw,Bardzka,dolnośląskie,50-517,1C,51.08468,17.04674
22016,WRO22M,Na parkingu sklepu Lidl,Wrocław,wroclaw,Grabiszyńska,dolnośląskie,53-241,253,51.09611,16.98341
22017,WRO22N,Przy wjeździe na parking osiedlowy,Wrocław,wroclaw,Gajowicka,dolnośląskie,53-323,138,51.08923,17.00725
22018,WRO230M,Przy wejściu do marketu Aldi,Wrocław,wroclaw,Szybowcowa,dolnośląskie,54-130,7,51.12772,16.97493
22019,WRO233M,Wzdłuż płotu,Wrocław,wroclaw,Modra,dolnośląskie,54-151,34A,51.13711,16.97012
22020,WRO234M,boczna ściana sklepu po prawej stronie,Wrocław,wroclaw,Walerego Sławka,dolnośląskie,52-007,11,51.10866,17.09421
22021,WRO235M,Przy sklepie Aldi,Wrocław,wroclaw,Zwycięska,dolnośląskie,53-033,7,51.06112,17.00071
22022,WRO236M,Przejście budynku,Wrocław,wroclaw,Głogowska,dolnośląskie,53-621,6,51.1165,17.00248
22023,WRO237M,przy elewacji sklepu od Świętego Wincentego,Wrocław,wroclaw,Świętego Wincentego,dolnośląskie,50-253,1,51.12227,17.03119
22024,WRO238M,"Spółdzielnia PDK, w płocie",Wrocław,wroclaw,Dworcowa,dolnośląskie,50-441,17,51.10079,17.03928
22025,WRO239M,Przy wjeździe na osiedle,Wrocław,wroclaw,Obornicka,dolnośląskie,51-113,24,51.1355,17.03345
22026,WRO23A,Przy Centrum Handlowym Gaj,Wrocław,wroclaw,Świeradowska,dolnośląskie,50-559,70,51.0775,17.04745
22027,WRO23M,Przy sklepie Żabka,Wrocław,wroclaw,Królewska,dolnośląskie,51-200,25A,51.15794,17.13123
22028,WRO23N,Przy skrzyżowaniu ulic,Wrocław,wroclaw,Jantarowa,dolnośląskie,53-330,18,51.09266,17.01292
22029,WRO240M,Przy Restauracji MIKI.,Wrocław,wroclaw,Włościańska,dolnośląskie,51-514,65,51.10407,17.15064
22030,WRO241M,Na skrzyżowaniu ulic Strachocińska/Narciarska,Wrocław,wroclaw,Strachocińska,dolnośląskie,51-511,136,51.10431,17.15239
22031,WRO242M,Przy sklepie Żabka.,Wrocław,wroclaw,Kowalska,dolnośląskie,51-424,81A,51.13349,17.10361
22032,WRO243M,Obok Spółdzielni Mieszkaniowej Rolbud (zwrócony tyłem do parkingu),Wrocław,wroclaw,Wiejska,dolnośląskie,52-437,,51.07826,16.95876
22033,WRO245M,Przy ścianie budynku,Wrocław,wroclaw,Średzka,dolnośląskie,54-017,16B,51.14579,16.86975
22034,WRO246M,Parking obok budynku,Wrocław,wroclaw,Jurija Gagarina,dolnośląskie,54-620,110,51.0943,16.93416
22035,WRO247M,przy wjeżdzie na teren po prawej stronie,Wrocław,wroclaw,Ołtaszyńska,dolnośląskie,52-200,51,51.06488,17.00939
22036,WRO248M,Na tyłach sklepu,Wrocław,wroclaw,Kowalska,dolnośląskie,51-424,72,51.13432,17.10183
22037,WRO249M,obok wjazdu na posesję,Wrocław,wroclaw,Przedświt,dolnośląskie,54-618,9,51.09544,16.94469
22038,WRO24A,Przy Centrum Handlowym Tęcza,Wrocław,wroclaw,Jerzego Bajana,dolnośląskie,54-129,1,51.13026,16.96514
22039,WRO24M,Po prawej stronie od wejścia do marketu,Wrocław,wroclaw,Karczemna,dolnośląskie,54-067,1,51.173,16.914
22040,WRO24N,Przy parkingu spółdzielni SM Gądów,Wrocław,wroclaw,Na Ostatnim Groszu,dolnośląskie,54-207,24/26,51.12355,16.97772
22041,WRO251M,Na działce prywatnej,Wrocław,wroclaw,Szewczenki,dolnośląskie,51-348,2,51.14153,17.1249
22042,WRO252M,Na parkingu osiedla,Wrocław,wroclaw,Kasprowicza,dolnośląskie,51-118,1,51.13576,17.03796
22043,WRO253M,Parking przed Żabką,Wrocław,wroclaw,Stabłowicka,dolnośląskie,54-066,152,51.17192,16.90286
22044,WRO254M,Na rogu ulic Zwiadowców/Unruga,Wrocław,wroclaw,Zwiadowców,dolnośląskie,52-207,14,51.05512,17.0185
22045,WRO255M,Przy wjeździe na parking osiedlowy,Wrocław,wroclaw,Kamieńskiego,dolnośląskie,51-124,144,51.1491,17.04276
22046,WRO256M,W płocie,Wrocław,wroclaw,Strachocińska,dolnośląskie,51-511,83,51.1064,17.14334
22048,WRO258M,Przychodnia Weterynaryjna,Wrocław,wroclaw,Stabłowicka,dolnośląskie,54-058,56,51.15685,16.8916
22049,WRO259M,Narożnik ul. Paulińskiej i Pl. Świętego Macieja,Wrocław,wroclaw,Pl. Świętego Macieja,dolnośląskie,50-244,13-15,51.12038,17.03503
22050,WRO25A,Przy sklepie Społem Południe,Wrocław,wroclaw,Inżynierska,dolnośląskie,53-228,19,51.09499,16.99157
22051,WRO25N,Stacja paliw Avia,Wrocław,wroclaw,Gazowa,dolnośląskie,50-513,3,51.07772,17.06951
22053,WRO261M,Na skrzyżowaniu ulic Parnickiego/Obornicka,Wrocław,wroclaw,Parnickiego,dolnośląskie,51-116,1,51.13909,17.02884
22054,WRO262M,Przy drukarni,Wrocław,wroclaw,Wędkarzy,dolnośląskie,51-050,18,51.16741,16.96396
22055,WRO263M,"Przy wjeździe na parking strzeżony, za WRO83M",Wrocław,wroclaw,Rychtalska,dolnośląskie,50-304,7,51.12899,17.04753
22056,WRO264M,Przy parkingu od strony stacji paliw,Wrocław,wroclaw,Zakładowa,dolnośląskie,50-231,2/4,51.13059,17.03943
22057,WRO265M,Przy pasażu handlowym,Wrocław,wroclaw,Poleska,dolnośląskie,51-354,48,51.14296,17.12753
22058,WRO266M,Na szczycie bloku od ulicy Litewskiej,Wrocław,wroclaw,Żmudzka,dolnośląskie,51-354,23,51.14323,17.13975
22059,WRO267M,Przy klatce schodowej nr 8,Wrocław,wroclaw,Sycowska,dolnośląskie,51-312,8,51.14738,17.11219
22060,WRO268M,Na szczycie bloku przy klatce schodowej nr 107,Wrocław,wroclaw,Kiełczowska,dolnośląskie,51-315,107,51.14441,17.13629
22061,WRO269M,Przy klatce schodowej nr 37,Wrocław,wroclaw,Inflancka,dolnośląskie,51-317,37,51.1435,17.13104
22062,WRO26A,Przy sklepie Społem Południe,Wrocław,wroclaw,Wełniana,dolnośląskie,54-059,31,51.15851,16.89723
22063,WRO26M,Na parkingu,Wrocław,wroclaw,Mińska,dolnośląskie,54-610,50,51.10314,16.94478
22064,WRO26N,Przy Parku Handlowym N-Park,Wrocław,wroclaw,Gagarina,dolnośląskie,54-620,27,51.09472,16.93303
22065,WRO270M,Na szczycie bloku,Wrocław,wroclaw,Litewska,dolnośląskie,51-354,34,51.14321,17.13355
22066,WRO271M,Przy placu zabaw,Wrocław,wroclaw,Sycowska,dolnośląskie,51-319,16D,51.14618,17.11114
22067,WRO272M,Przy Bloku 1-3,Wrocław,wroclaw,Inflancka,dolnośląskie,51-354,1-3,51.14587,17.1313
22068,WRO273M,Od ulicy Kamiennej przy chodniku,Wrocław,wroclaw,Drukarska,dolnośląskie,53-311,31,51.08985,17.01981
22069,WRO274M,Business Park Długosza,Wrocław,wroclaw,Długosza,dolnośląskie,51-162,48-60,51.13532,17.06558
22070,WRO275M,W płocie parkingu,Wrocław,wroclaw,Wielkopolska,dolnośląskie,54-027,72,51.14364,16.87811
22071,WRO276M,Przy wejściu na podwórze,Wrocław,wroclaw,Bieńkowskiego,dolnośląskie,54-115,22,51.13519,16.92449
22072,WRO277M,Przy budynku mieszkalnym,Wrocław,wroclaw,Legnicka,dolnośląskie,54-204,60c,51.12109,16.9894
22073,WRO278M,Przy barze Kęs,Wrocław,wroclaw,Życzliwa,dolnośląskie,52-443,13,51.06764,16.9879
22074,WRO279M,Na przeciwko przedszkola,Wrocław,wroclaw,Olbrachtowska,dolnośląskie,54-063,44-48,51.15327,16.90835
22075,WRO27A,Przy Nobilis Business House,Wrocław,wroclaw,Skłodowskiej-Curie,dolnośląskie,50-381,12,51.1131,17.0571
22076,WRO27M,Przy parkingu za blokami,Wrocław,wroclaw,Dolnobrzeska,dolnośląskie,54-072,24,51.14942,16.86577
22077,WRO27N,Stacja paliw Circle K,Wrocław,wroclaw,Romana Dmowskiego,dolnośląskie,50-203,5,51.11738,17.02146
22078,WRO280M,"Na parkingu za hotelem, od strony ulicy Gwiaździstej",Wrocław,wroclaw,Powstańców Śląskich,dolnośląskie,53-332,7,51.09852,17.0239
22079,WRO281M,"Przy sklepie Stokrotka, tyłem do parkingu.",Wrocław,wroclaw,Sielska,dolnośląskie,54-144,3,51.14021,16.96273
22080,WRO283M,Parking przed kościołem św. Stanisława Kostki (od ulicy Przestrzennej),Wrocław,wroclaw,Przestrzenna,dolnośląskie,50-501,50,51.08924,17.04294
22081,WRO284M,Przy parkingu samochodowym,Wrocław,wroclaw,Gajowicka,dolnośląskie,53-421,95,51.09525,17.0104
22082,WRO285M,Przy wjeździe na osiedle,Wrocław,wroclaw,Zielna,dolnośląskie,51-313,10,51.14496,17.1102
22083,WRO286M,Na szczycie bloku od ulicy Pretficza,Wrocław,wroclaw,Gajowicka,dolnośląskie,53-407,131,51.09168,17.00758
22084,WRO287M,Przy Przystanku Autobusowym,Wrocław,wroclaw,Kamieńskiego,dolnośląskie,51-180,268,51.16306,17.04587
22085,WRO289M,Przy przedszkolu Łobuziaki,Wrocław,wroclaw,Maślicka,dolnośląskie,54-107,148,51.15637,16.93521
22086,WRO28M,Przy bloku od ulicy Zegadłowicza,Wrocław,wroclaw,Trzebnicka,dolnośląskie,50-310,76D,51.12906,17.03482
22087,WRO28N,Przy sklepie Społem,Wrocław,wroclaw,Solskiego,dolnośląskie,52-416,50,51.08291,16.96966
22088,WRO290M,Parking przy Wspólnocie Mieszkaniowej,Wrocław,wroclaw,Grota-Roweckiego,dolnośląskie,52-232,123,51.05648,17.03222
22089,WRO291M,Obok schodów do sklepu Rabat,Wrocław,wroclaw,Ścinawska,dolnośląskie,53-641,20,51.11766,17.01041
22090,WRO292M,Na parkingu parku handlowego,Wrocław,wroclaw,Północna,dolnośląskie,54-105,1,51.15779,16.93439
22091,WRO293M,Na osiedlu od ulicy Poleskiej,Wrocław,wroclaw,Poleska,dolnośląskie,51-317,1,51.14625,17.12828
22092,WRO294M,W narożniku parkingu,Wrocław,wroclaw,Kolista,dolnośląskie,54-152,20A,51.13352,16.97252
22093,WRO295M,Przy Lotniczych Zakładach Naukowych,Wrocław,wroclaw,Kiełczowska,dolnośląskie,51-315,43,51.14647,17.12271
22094,WRO296M,Przy wjeździe na teren składu budowlanego,Wrocław,wroclaw,Sołtysowicka,dolnośląskie,51-168,25B,51.14332,17.07121
22095,WRO297M,Przy wjeździe na teren budynku usługowo - handlowego,Wrocław,wroclaw,Wojanowska,dolnośląskie,54-054,5,51.15464,16.89897
22096,WRO298M,Wzdłuż płotu parafii,Wrocław,wroclaw,Młodych Techników,dolnośląskie,53-647,17,51.11505,17.01417
22097,WRO299M,Przy sklepie Lidl,Wrocław,wroclaw,Piołunowa,dolnośląskie,54-530,18,51.1279,16.87957
22098,WRO29A,Stacja paliw AMIC ENERGY,Wrocław,wroclaw,Armii Krajowej,dolnośląskie,50-541,1,51.08267,17.03611
22099,WRO29M,Przy parkingu za budynkiem,Wrocław,wroclaw,Krzywoustego,dolnośląskie,51-310,285,51.14542,17.10942
22100,WRO29N,Przy markecie Lewiatan,Wrocław,wroclaw,Borowska,dolnośląskie,50-558,214,51.07468,17.03295
22101,WRO300M,Przy wjeździe na parking hotelu,Wrocław,wroclaw,Ślężna,dolnośląskie,53-302,26,51.09344,17.03158
22102,WRO301M,Na skrzyżowaniu ulic Sernicka/Paczkowska,Wrocław,wroclaw,Sernicka,dolnośląskie,50-503,1,51.08918,17.04754
22103,WRO302M,Przy bramie wjazdowej,Wrocław,wroclaw,Osobowicka,dolnośląskie,51-008,70,51.13546,16.99924
22104,WRO304M,Po lewej stronie budynku,Wrocław,wroclaw,Bacciarellego,dolnośląskie,51-649,6,51.10578,17.11115
22105,WRO305M,Przy posesji prywatnej,Wrocław,wroclaw,Wodzisławska,dolnośląskie,52-017,4,51.08068,17.08759
22106,WRO306M,Przy miejscach parkingowych z tyłu bloku,Wrocław,wroclaw,Wojanowska,dolnośląskie,54-050,82,51.15324,16.89967
22107,WRO307M,Boczna ściana sklepu spożywczego,Wrocław,wroclaw,Maślicka,dolnośląskie,54-142,166,51.15736,16.93215
22108,WRO308M,Obok parkingu Park & Ride,Wrocław,wroclaw,Lazurowa,dolnośląskie,54-044,dz. 342/3,51.1448822899,16.8895214412
22109,WRO309M,Od strony ulicy Parandowskiego,Wrocław,wroclaw,Stanisława Dygata,dolnośląskie,54-622,1,51.10241,16.95141
22110,WRO30A,Przy Netto,Wrocław,wroclaw,Sołtysowicka,dolnośląskie,51-168,17,51.14036,17.07173
22111,WRO30M,Przy wjeździe na parking,Wrocław,wroclaw,Bytomska,dolnośląskie,52-024,1,51.07724,17.08309
22112,WRO30N,"Przy markecie E.Leclerc, po lewej stronie od wejścia",Wrocław,wroclaw,Zakładowa,dolnośląskie,50-231,2/4,51.13021,17.03976
22113,WRO310M,Przy Netto,Wrocław,wroclaw,Kiełczowska,dolnośląskie,51-315,78,51.14574,17.14094
22114,WRO311M,Na rogu Milickiej/Rudawskiej,Wrocław,wroclaw,Milicka,dolnośląskie,51-127,39,51.15198,17.03646
22115,WRO314M,Przy wjeździe na teren Politechniki,Wrocław,wroclaw,Wittiga,dolnośląskie,51-628,6,51.10338,17.08408
22116,WRO315M,Przy budynku T-22,Wrocław,wroclaw,Wróblewskiego,dolnośląskie,51-657,25,51.1041,17.08663
22117,WRO316M,Obok sklepu Żabka,Wrocław,wroclaw,Białowieska,dolnośląskie,54-234,66,51.12561,16.99332
22118,WRO31A,Przy sklepie Rabat,Wrocław,wroclaw,Hermanowska,dolnośląskie,54-314,43,51.12338,16.95253
